Series Name,Series Code,Country Name,Country Code,2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1990 [YR1990],1989 [YR1989],1988 [YR1988],1987 [YR1987],1986 [YR1986],1985 [YR1985],1984 [YR1984],1983 [YR1983],1982 [YR1982],1981 [YR1981],1980 [YR1980],1979 [YR1979],1978 [YR1978],1977 [YR1977],1976 [YR1976],1975 [YR1975],1974 [YR1974],1973 [YR1973],1972 [YR1972],1971 [YR1971],1970 [YR1970],1969 [YR1969],1968 [YR1968],1967 [YR1967]
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,..,587606,577914,568056,557763,546682,534626,521405,507274,493022,479728,468149,458579,450754,444178,438088,431907,425448,418810,412031,405231,398459,391783,385041,377799,369484,359735,348467,335952,322655,309226,296222,283672,271674,260921,252258,246236,243073,242458,243729,245915,248213,250550,252845,254282,253881,250997,245310,237129,227258
"Population, total",SP.POP.TOTL,"Macedonia, FYR",MKD,..,2078453,2075625,2072543,2069270,2065888,2062443,2058920,2055266,2051427,2047330,2042894,2038444,2033974,2028706,2021585,2012051,1999362,1984242,1969345,1958303,1953544,1956165,1964924,1977033,1988458,1996227,1999338,1998471,1994368,1988401,1981532,1974069,1965488,1954990,1941445,1924194,1902718,1877687,1851068,1825554,1803009,1784395,1768996,1754954,1739525,1720798,1698140,1672401,1644944
"Population, total",SP.POP.TOTL,Madagascar,MDG,..,24235390,23571713,22924557,22293720,21678867,21079532,20495706,19926798,19371031,18826129,18290394,17763367,17245275,16736029,16235767,15744811,15262817,14790245,14329239,13882646,13452526,13039754,12643864,12263899,11898267,11545782,11205548,10877757,10563491,10264368,9981113,9714342,9462343,9220693,8983494,8746516,8507958,8268902,8031589,7799642,7575757,7360271,7152391,6952383,6760352,6576301,6400454,6232704,6072270
"Population, total",SP.POP.TOTL,Malawi,MWI,..,17215232,16695253,16190126,15700436,15226813,14769824,14329056,13904671,13498377,13112383,12747846,12407618,12090476,11788731,11491824,11193230,10882543,10563554,10260421,10006767,9822812,9725612,9697635,9682918,9604199,9408998,9073088,8620942,8108484,7617137,7205635,6892527,6659453,6483571,6327344,6163225,5986639,5807170,5627788,5454839,5292816,5141138,4996861,4859569,4728693,4603739,4484456,4370664,4262013
"Population, total",SP.POP.TOTL,Malaysia,MYS,..,30331007,29901997,29465372,29021940,28572970,28119500,27661017,27197419,26730607,26263048,25796124,25332026,24869423,24401977,23920963,23420751,22898579,22358128,21808125,21260881,20725374,20205992,19700762,19204700,18709835,18211097,17707064,17202032,16703500,16221767,15764340,15333369,14926976,14543585,14180093,13833739,13504433,13191699,12891715,12599655,12311782,12025930,11741849,11460080,11182078,10908634,10640347,10375877,10111920
"Population, total",SP.POP.TOTL,Maldives,MDV,..,409163,401000,393000,385000,377000,367000,360000,362000,349000,333000,321000,312000,304000,297000,292000,286000,280000,271000,264000,262000,255000,245000,242000,234000,227000,218000,216553,209832,203059,196283,189551,182864,176258,169861,163834,158282,153285,148797,144645,140582,136434,132122,127717,123372,119315,115703,112591,109901,107488
"Population, total",SP.POP.TOTL,Mali,MLI,..,17599694,17086022,16592097,16112333,15639115,15167286,14694565,14223403,13759226,13309942,12881384,12474857,12088867,11723017,11376094,11046926,10736542,10444822,10168000,9901045,9640643,9383608,9131449,8891141,8672581,8482075,8322726,8189984,8073178,7957390,7831891,7692537,7542377,7386669,7233877,7090125,6956779,6831530,6712545,6596817,6482276,6368351,6256192,6147459,6044532,5949043,5861411,5780834,5706198
"Population, total",SP.POP.TOTL,Malta,MLT,..,431333,427364,423374,419455,416268,414508,412477,409379,406724,405308,403834,401268,398582,395969,393028,381363,379360,377516,375236,372687,370433,367941,364704,361260,357727,354170,350722,347325,344485,342121,336452,330593,330524,325898,318982,316645,313342,310182,306970,305774,304222,301996,302200,302450,302700,302650,304300,307900,311550
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,..,52993,52898,52786,52663,52541,52428,52321,52221,52136,52080,52058,52074,52115,52161,52184,52161,52076,51922,51697,51397,51020,50577,50052,49382,48481,47300,45813,44063,42148,40203,38334,36567,34895,33334,31895,30581,29416,28399,27470,26549,25580,24536,23440,22340,21310,20397,19622,18965,18388
"Population, total",SP.POP.TOTL,Mauritania,MRT,..,4067564,3969625,3872684,3777067,3683221,3591400,3501927,3414552,3328285,3241762,3154087,3064882,2974686,2884672,2796502,2711421,2629806,2551429,2476188,2403779,2333966,2266745,2202201,2140250,2080782,2023665,1968870,1916240,1865356,1815692,1766855,1718641,1671080,1624310,1578585,1534085,1490811,1448664,1407621,1367640,1328687,1290755,1253839,1217912,1182945,1148908,1115790,1083586,1052285
