Series Name,Series Code,Country Name,Country Code,2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1990 [YR1990],1989 [YR1989],1988 [YR1988],1987 [YR1987],1986 [YR1986],1985 [YR1985],1984 [YR1984],1983 [YR1983],1982 [YR1982],1981 [YR1981],1980 [YR1980],1979 [YR1979],1978 [YR1978],1977 [YR1977],1976 [YR1976],1975 [YR1975],1974 [YR1974],1973 [YR1973],1972 [YR1972],1971 [YR1971],1970 [YR1970],1969 [YR1969],1968 [YR1968],1967 [YR1967]
"Population, total",SP.POP.TOTL,Russian Federation,RUS,..,144096812,143819569,143506911,143201676,142960868,142849449,142785342,142742350,142805088,143049528,143518523,144067054,144648257,145306046,145976083,146596557,147214392,147670692,147915307,148160042,148375726,148336000,148520000,148689000,148624000,148292000,147721000,146857000,145908000,144894000,143858000,142745000,141668000,140823000,139941000,139010000,138027000,137060000,136100000,135147000,134200000,133432000,132669000,131909000,131155000,130404000,129664000,128928000,128196000
"Population, total",SP.POP.TOTL,Rwanda,RWA,..,11609666,11341544,11078095,10817350,10556429,10293669,10024594,9750314,9481083,9231041,9008230,8828956,8686469,8539029,8329113,8021875,7585143,7047196,6506118,6097688,5912755,5995987,6300358,6712924,7071393,7259740,7239097,7048075,6742390,6410594,6117966,5877556,5669251,5486431,5313908,5140786,4968628,4804375,4648070,4499720,4359166,4226836,4102336,3983707,3868345,3754546,3640591,3527260,3418313
"Population, total",SP.POP.TOTL,Samoa,WSM,..,193228,191845,190390,188901,187434,186029,184700,183440,182238,181072,179928,178794,177677,176592,175567,174614,173758,172979,172191,171276,170158,168786,167206,165568,164073,162865,162001,161424,161014,160591,160030,159281,158383,157401,156435,155554,154763,154010,153244,152390,151383,150219,148889,147323,145437,143175,140520,137503,134194
"Population, total",SP.POP.TOTL,San Marino,SMR,..,31781,31595,31391,31172,30938,30690,30431,30160,29874,29568,29242,28891,28520,28142,27771,27420,27097,26795,26503,26201,25875,25519,25141,24755,24385,24045,23740,23463,23208,22959,22708,22455,22203,21944,21666,21363,21026,20663,20301,19981,19732,19565,19467,19396,19299,19136,18895,18587,18228
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,..,190344,186342,182386,178484,174646,170880,167196,163595,160064,156584,153146,149732,146357,143085,140003,137164,134602,132284,130110,127946,125694,123318,120849,118346,115900,113575,111373,109268,107264,105364,103557,101871,100285,98692,96947,94953,92652,90095,87436,84889,82607,80670,79026,77536,75989,74251,72240,70040,67874
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,..,31540372,30886545,30201051,29496047,28788438,28090647,27409491,26742842,26083522,25419994,24745230,24055573,23357887,22668102,22007937,21392273,20825955,20302193,19809633,19331311,18853670,18373412,17890529,17398523,16890555,16361453,15810980,15239174,14642354,14016569,13361284,12674089,11962244,11247085,10556936,9912917,9323290,8785326,8295384,7845300,7428705,7045477,6697486,6382106,6096106,5836394,5601649,5389848,5196349
"Population, total",SP.POP.TOTL,Senegal,SEN,..,15129273,14672557,14221041,13780108,13357003,12956791,12581624,12229703,11897230,11578430,11268994,10967016,10673320,10389457,10118078,9860578,9617641,9386923,9163184,8939438,8710746,8475136,8234147,7990736,7749559,7514201,7285378,7062540,6846556,6638186,6438024,6246140,6062682,5888261,5723541,5568651,5424299,5289445,5160313,5031849,4900491,4764623,4625377,4485342,4348499,4217754,4093763,3975614,3862783
"Population, total",SP.POP.TOTL,Serbia,SRB,..,7098247,7130576,7164132,7199077,7234099,7291436,7320807,7350222,7381579,7411569,7440769,7463157,7480591,7496522,7503433,7516346,7540401,7567745,7596501,7617794,7625357,7734639,7699307,7646424,7595636,7586000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Population, total",SP.POP.TOTL,Seychelles,SYC,..,92900,91400,89900,88303,87441,89770,87298,86956,85033,84600,82900,82500,82800,83700,81202,81131,80410,78846,77319,76417,75304,73925,72711,71657,70755,70000,69388,68848,68352,67877,67400,66902,66367,65780,65128,64400,63594,62707,61742,60704,59600,58466,57284,56068,54835,53600,52365,51134,49911
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,..,6453184,6315627,6178859,6043157,5908908,5775902,5647194,5521838,5391108,5243214,5071271,4870467,4647701,4422154,4220198,4060709,3948800,3878475,3843472,3833053,3837807,3858559,3893891,3929182,3945899,3931208,3878211,3791078,3681945,3569102,3466044,3376371,3296530,3224346,3155368,3086406,3017670,2951001,2886607,2824827,2765914,2709797,2656380,2605837,2558395,2514151,2473165,2435197,2399667
"Population, total",SP.POP.TOTL,Singapore,SGP,..,5535002,5469724,5399162,5312437,5183688,5076732,4987573,4839396,4588599,4401365,4265762,4166664,4114826,4175950,4138012,4027887,3958723,3927213,3796038,3670704,3524506,3419048,3313471,3230698,3135083,3047132,2930901,2846108,2774789,2733373,2735957,2732221,2681061,2646466,2532835,2413945,2383500,2353600,2325300,2293300,2262600,2229800,2193000,2152400,2112900,2074500,2042500,2012000,1977600
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,..,38817,37685,36607,34640,33435,35474,39133,40458,39462,38270,36934,35316,33790,32566,31189,30519,31084,31240,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,..,5424050,5418649,5413393,5407579,5398384,5391428,5386406,5379233,5374622,5373054,5372807,5372280,5373374,5376912,5378867,5388720,5396020,5390516,5383291,5373361,5361999,5346331,5325305,5305016,5303294,5299187,5275942,5250596,5222840,5193838,5161768,5127097,5091971,5055099,5016105,4979815,4938973,4890125,4840501,4789507,4739105,4689623,4641445,4596622,4557449,4538223,4518607,4483915,4449367
"Population, total",SP.POP.TOTL,Slovenia,SVN,..,2063768,2061980,2059953,2057159,2052843,2048583,2039669,2021316,2018122,2006868,2000474,1997012,1995733,1994530,1992060,1988925,1983045,1981629,1985956,1988628,1989872,1989443,1991746,1996498,1999429,1998161,1996351,1995196,1989776,1965964,1941641,1932154,1922321,1910334,1906531,1901315,1882599,1862548,1842377,1820249,1793581,1776132,1766697,1752233,1738335,1724891,1713874,1704546,1689528
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,..,583591,572171,560685,549162,537648,526177,514767,503410,492075,480716,469306,457841,446352,434893,423535,412336,401319,390489,379859,369438,359236,349250,339490,329984,320764,311849,303258,294962,286868,278846,270809,262719,254602,246502,238488,230614,222905,215353,207942,200642,193447,186338,179354,172599,166214,160292,154876,149926,145354
"Population, total",SP.POP.TOTL,Somalia,SOM,..,10787104,10517569,10268157,10033630,9806670,9581714,9356827,9132589,8909015,8686939,8466938,8251054,8039104,7827203,7610053,7385416,7148406,6904231,6672781,6480888,6346440,6278911,6269244,6294017,6319531,6321615,6285456,6217331,6138907,6082723,6068425,6113252,6199671,6271538,6251730,6089707,5758961,5289049,4754149,4259636,3880955,3644572,3526527,3490295,3477568,3445420,3385414,3311111,3227245
"Population, total",SP.POP.TOTL,South Africa,ZAF,..,54956920,54058647,53192216,52356381,51549958,50771826,50020918,49296223,48596781,47921682,47270063,46641103,46034026,45448096,44909738,44000000,42923485,41899683,40926063,40000247,39120000,38283223,37473796,36690739,35933108,35200000,34490549,33728498,32933081,32121290,31307880,30505361,29724004,28971839,28254655,27576000,26940793,26355319,25805575,25268094,24728000,24189837,23655908,23126276,22602373,22087000,21612522,21153722,20707258
"Population, total",SP.POP.TOTL,South Sudan,SSD,..,12339812,11911184,11453810,10980623,10510122,10056475,9623176,9208598,8815495,8445659,8099908,7784488,7499695,7233237,6967817,6692999,6398416,6092688,5806951,5584223,5452771,5425099,5484372,5593347,5698998,5762190,5771305,5735170,5660153,5559804,5444907,5314358,5165623,5007145,4849708,4701360,4565912,4442665,4329467,4222056,4117299,4015271,3917450,3823605,3733547,3647097,3564079,3484335,3407754
"Population, total",SP.POP.TOTL,Spain,ESP,..,46418269,46480882,46620045,46773055,46742697,46576897,46362946,45954106,45226803,44397319,43653155,42921895,42187645,41431558,40756001,40263216,39926268,39721108,39582413,39478186,39387017,39294967,39189400,39067745,38939049,38850435,38791473,38715849,38630820,38535617,38418817,38278575,38122429,37942805,37740556,37439035,37201123,36872506,36370050,35939437,35530725,35154338,34817071,34502705,34191678,33814531,33441054,33113134,32682947
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,..,20966000,20771000,20579000,20424000,20270000,20118000,19967000,19817000,19668000,19520000,19373000,19227000,19083000,18939000,18797000,18655000,18532000,18425000,18323000,18210000,18074000,17912000,17728000,17524000,17306000,17078000,16841000,16593000,16339000,16083000,15831000,15583000,15339000,15096000,14847000,14747000,14472000,14190000,13942000,13717000,13496000,13284000,13091000,12861000,12690000,12514000,12252000,11992000,11703000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,..,55572,54944,54301,53650,52998,52352,51717,51093,50465,49818,49139,48424,47681,46935,46216,45544,44938,44391,43885,43391,42888,42363,41836,41360,41009,40833,40854,41045,41353,41697,42017,42294,42539,42761,42978,43205,43450,43704,43946,44142,44278,44327,44314,44328,44490,44882,45534,46399,47383
"Population, total",SP.POP.TOTL,St. Lucia,LCA,..,184999,183645,182305,180890,179278,177397,175196,172729,170146,167656,165407,163462,161767,160218,158650,156949,155073,153066,150994,148962,147040,145262,143592,141934,140159,138180,135954,133532,131032,128620,126416,124468,122738,121150,119593,117984,116292,114551,112826,111211,109770,108534,107461,106458,105389,104162,102747,101181,99526
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,..,31754,31530,31264,30959,30615,30235,29820,29376,28905,28414,27906,27514,27363,27450,27782,28384,29305,30358,31304,32102,32712,33098,33238,32892,31821,30036,27676,24873,21628,18337,15392,12790,10547,8670,7868,7580,7303,7035,6778,6530,6291,6078,5915,5756,5601,5450,5303,5161,5033
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,..,109462,109360,109327,109334,109341,109316,109255,109165,109049,108908,108749,108563,108354,108150,107989,107897,107879,107923,108001,108078,108122,108129,108097,108001,107811,107509,107081,106533,105892,105197,104477,103742,102985,102202,101378,100506,99589,98634,97649,96639,95614,94572,93516,92465,91440,90457,89518,88615,87736
"Population, total",SP.POP.TOTL,Sudan,SDN,..,40234882,39350274,38515095,37712420,36918193,36114885,35297298,34470138,33637960,32809056,31990003,31176209,30365586,29569978,28805142,28079664,27406808,26777059,26149124,25466387,24691970,23805536,22829227,21820588,20861117,20008804,19284633,18669146,18130501,17618852,17097619,16559205,16015120,15470415,14935471,14418063,13917268,13429688,12958110,12506035,12075841,11668674,11283574,10918137,10568788,10232758,9909152,9598196,9299545
"Population, total",SP.POP.TOTL,Suriname,SUR,..,542975,538248,533450,528535,523439,518141,512522,506657,500953,495953,491999,489312,487641,486271,484210,480751,475637,469108,461569,453653,445830,438280,430901,423572,416068,408276,400133,391851,383916,376973,371469,367611,365242,363993,363309,362777,362137,361463,361053,361368,362651,365104,368342,371318,372619,371268,366845,359735,350755
"Population, total",SP.POP.TOTL,Swaziland,SWZ,..,1286970,1269112,1250641,1231694,1212458,1193148,1173529,1153750,1134853,1118204,1104642,1094775,1087949,1082195,1074765,1063715,1048151,1028694,1006760,984506,963428,944223,926224,907947,887248,862728,833787,801350,767417,734790,705492,680253,658496,639333,621314,603373,585335,567560,550135,533264,517100,501596,486656,472337,458717,445844,433709,422266,411478
"Population, total",SP.POP.TOTL,Sweden,SWE,..,9798871,9696110,9600379,9519374,9449213,9378126,9298515,9219637,9148092,9080505,9029572,8993531,8958229,8924958,8895960,8872109,8857874,8850974,8846062,8840998,8826939,8780745,8718561,8668067,8617375,8558835,8492964,8436489,8397804,8369829,8350386,8336605,8329033,8325263,8320503,8310531,8293678,8275599,8251540,8222286,8192437,8159955,8136312,8122300,8098334,8042801,7968072,7912273,7867931
"Population, total",SP.POP.TOTL,Switzerland,CHE,..,8286976,8188649,8089346,7996861,7912398,7824909,7743831,7647675,7551117,7483934,7437115,7389625,7339001,7284753,7229854,7184250,7143991,7110001,7088906,7071850,7040687,6993795,6938265,6875364,6799978,6715519,6646912,6593386,6545106,6504124,6470365,6441865,6418773,6391309,6354074,6319408,6294365,6281738,6281174,6302504,6338632,6341405,6307347,6260956,6213399,6180877,6136387,6067714,5991785
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,..,18502413,18772481,19322593,19978756,20501167,20720602,20566871,20097057,19425597,18728200,18132842,17671913,17304339,16997521,16694414,16354050,15972430,15568797,15151962,14736209,14331962,13941025,13559642,13186187,12817578,12451539,12088714,11730217,11374772,11020718,10667245,10313485,9960833,9613517,9277263,8956156,8651904,8363346,8088148,7822610,7564000,7311685,7066474,6828765,6599366,6378802,6166933,5963248,5767478
"Population, total",SP.POP.TOTL,Tajikistan,TJK,..,8481855,8295840,8111894,7930929,7753925,7581696,7414960,7254072,7099021,6949566,6805655,6666628,6532871,6406518,6290413,6186152,6094126,6012308,5936780,5862224,5784330,5702611,5616797,5523207,5417554,5297286,5160375,5008827,4849253,4690913,4540688,4400743,4269775,4146923,4030104,3917642,3809991,3707624,3608761,3511050,3412819,3313144,3212446,3112041,3013956,2919586,2829641,2743461,2659452
"Population, total",SP.POP.TOTL,Tanzania,TZA,..,53470420,51822621,50213457,48645709,47122998,45648525,44222113,42844744,41522004,40260847,39065600,37935334,36866228,35855480,34899062,33991590,33135281,32323953,31533781,30733937,29903329,29030288,28122799,27203865,26307482,25458208,24663284,23914852,23204186,22516809,21842087,21178079,20528465,19894677,19279543,18684893,18110990,17556148,17018013,16493435,15980265,15477155,14984973,14506496,14045757,13605504,13186560,12787494,12406040
"Population, total",SP.POP.TOTL,Thailand,THA,..,67959359,67725979,67451422,67164130,66902958,66692024,66548197,66453255,66353572,66174486,65863973,65404522,64817254,64136669,63415174,62693322,61973957,61250974,60544937,59878955,59266089,58722767,58237672,57761574,57225972,56582824,55812794,54933561,53979503,53002775,52041468,51105438,50183106,49265597,48336894,47385325,46412310,45423442,44416007,43386846,42334954,41259539,40164969,39061999,37964925,36884914,35826803,34790945,33778500
"Population, total",SP.POP.TOTL,Timor-Leste,TMP,..,1245015,1212107,1180069,1148958,1120392,1066409,1048367,1030630,1013194,996052,979201,962634,929431,894837,865848,847185,841063,845106,853867,859496,856439,842752,820471,792846,764884,740231,720198,703696,689170,674128,657018,636670,614379,593937,580556,577580,586886,606295,630151,650490,661634,661528,652017,636100,618508,602737,589519,577824,567330
"Population, total",SP.POP.TOTL,Togo,TGO,..,7304578,7115163,6928719,6745581,6566179,6390851,6219761,6052937,5890414,5732175,5578219,5428552,5283246,5142419,5006223,4874735,4747665,4624826,4506465,4392941,4284286,4180689,4081398,3984356,3886858,3786942,3684309,3579489,3472459,3363448,3252995,3140355,3026378,2915148,2812071,2720838,2642845,2576468,2518566,2464457,2410446,2356623,2303345,2247575,2185661,2115521,2034909,1945781,1855445
"Population, total",SP.POP.TOTL,Tonga,TON,..,106170,105586,105139,104769,104392,103947,103416,102816,102169,101507,100858,100226,99606,99005,98434,97898,97398,96937,96526,96174,95889,95678,95532,95421,95304,95152,94943,94680,94399,94147,93953,93838,93775,93683,93452,93007,92299,91360,90296,89258,88347,87609,86985,86349,85520,84370,82879,81096,79048
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,..,1360088,1354483,1348240,1341579,1334790,1328095,1321624,1315372,1309260,1303141,1296933,1290535,1284052,1277840,1272383,1267980,1264781,1262544,1260677,1258365,1255001,1250316,1244410,1237486,1229906,1221904,1213625,1204890,1195243,1184053,1170935,1155701,1138673,1120610,1102562,1085308,1069199,1054109,1039757,1025655,1011487,997052,982594,968742,956364,945996,937846,931466,925918
"Population, total",SP.POP.TOTL,Tunisia,TUN,..,11107800,10996600,10886500,10777500,10673800,10547100,10439600,10328900,10225100,10127900,10029000,9932400,9839800,9748900,9650600,9552500,9455900,9333300,9214900,9089300,8957500,8785700,8572200,8489900,8318200,8154400,7958694,7857619,7684751,7492633,7260361,7042550,6905136,6729178,6555185,6384000,6215690,6049539,5889693,5742339,5611000,5493722,5388709,5294325,5208154,5127000,5031211,4933131,4832923
"Population, total",SP.POP.TOTL,Turkey,TUR,..,78665830,77523788,76223639,74849187,73517002,72310416,71261307,70344357,69515492,68704721,67860617,66973561,66060121,65125766,64182694,63240157,62295617,61344874,60394104,59451488,58522320,57608769,56707454,55811134,54909508,53994605,53066569,52126497,51168841,50187091,49178079,48138191,47072603,45997940,44936836,43905790,42912350,41953105,41020211,40100696,39185637,38272701,37366922,36475356,35608079,34772031,33969201,33196289,32448404
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,..,5373502,5307188,5240088,5172941,5106672,5041995,4978960,4917541,4858235,4801594,4747839,4696876,4648036,4600172,4551762,4501419,4449427,4395293,4335991,4267690,4188010,4095512,3991917,3881973,3772350,3668000,3570558,3479088,3392823,3310059,3229499,3151262,3075867,3002785,2931343,2861000,2791575,2723006,2655036,2587417,2520002,2452528,2385039,2318070,2252386,2188499,2126749,2066889,2008148
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,..,34339,33740,33103,32430,31727,30993,30247,29481,28638,27642,26450,25025,23412,21740,20186,18876,17866,17114,16527,15967,15334,14597,13793,12970,12205,11550,11019,10588,10224,9873,9502,9097,8671,8245,7855,7525,7262,7057,6886,6723,6546,6346,6132,5924,5750,5632,5573,5563,5589
"Population, total",SP.POP.TOTL,Tuvalu,TUV,..,9916,9893,9876,9860,9844,9827,9808,9788,9764,9732,9694,9646,9590,9530,9471,9419,9374,9334,9298,9264,9227,9188,9148,9103,9056,9004,8949,8889,8821,8741,8648,8537,8413,8284,8160,8051,7959,7883,7816,7752,7685,7613,7538,7459,7379,7296,7213,7128,7037
"Population, total",SP.POP.TOTL,Uganda,UGA,..,39032383,37782971,36573387,35400620,34260342,33149417,32067125,31014427,29991958,29000925,28042413,27114742,26217760,25355794,24534668,23757636,23026357,22336812,21679497,21041468,20412967,19791266,19177660,18571527,17973428,17384369,16802258,16227778,15668278,15133740,14631089,14163214,13727427,13318149,12927007,12547754,12177677,11817951,11470741,11139772,10827071,10533627,10256342,9988321,9720365,9446024,9162773,8872866,8580632
"Population, total",SP.POP.TOTL,Ukraine,UKR,..,45198200,45362900,45489600,45593300,45706100,45870700,46053300,46258200,46509350,46787750,47105150,47451600,47812950,48202500,48683865,49175848,49673350,50143939,50594105,51057189,51512299,51921041,52179210,52150266,52000470,51892000,51773000,51521000,51293000,51097000,50917000,50754000,50564000,50384000,50221000,49968811,49750150,49525597,49290087,49036202,48758986,48455120,48127170,47783013,47433807,47086758,46746668,46409007,46060456
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,..,9156963,9086139,9039978,8952542,8734722,8329453,7705423,6900142,6010100,5171255,4481976,3975945,3625798,3394060,3217865,3050128,2884188,2733770,2595220,2467726,2350192,2238281,2127863,2019014,1913190,1811458,1712117,1613904,1518991,1430548,1350433,1280278,1218223,1158477,1093108,1016789,927303,827394,722849,622051,531265,451948,382823,324069,275160,235434,205570,185312,171781
"Population, total",SP.POP.TOTL,United Kingdom,GBR,..,65138232,64613160,64128226,63700300,63258918,62766365,62276270,61806995,61322463,60846820,60401206,59987905,59647577,59370479,59119673,58892514,58682466,58487141,58316954,58166950,58019030,57865745,57718614,57580402,57424897,57247586,57076711,56928327,56802050,56681396,56550268,56422072,56332848,56313641,56333829,56314216,56246951,56196504,56193492,56211968,56225800,56229974,56194527,56086065,55896223,55663250,55441750,55211700,54943600
"Population, total",SP.POP.TOTL,United States,USA,..,321418820,318907401,316427395,314102623,311718857,309346863,306771529,304093966,301231207,298379912,295516599,292805298,290107933,287625193,284968955,282162411,279040000,275854000,272657000,269394000,266278000,263126000,259919000,256514000,252981000,249623000,246819000,244499000,242289000,240133000,237924000,235825000,233792000,231664000,229466000,227225000,225055000,222585000,220239000,218035000,215973000,213854000,211909000,209896000,207661000,205052000,202677000,200706000,198712000
"Population, total",SP.POP.TOTL,Uruguay,URY,..,3431555,3419516,3407969,3396753,3385610,3374414,3362761,3350832,3339750,3331041,3325608,3324096,3325637,3327770,3327105,3321242,3309318,3292134,3271014,3248039,3224807,3201604,3178156,3154853,3132048,3109987,3088985,3069094,3049962,3031032,3011907,2992648,2973461,2954281,2935036,2915775,2896021,2875970,2857107,2841436,2830172,2824069,2822084,2821437,2818269,2809799,2795044,2774771,2750093
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,..,31299500,30757700,30243200,29774500,29339400,28562400,27767400,27302800,26868000,26488250,26167000,25864350,25567650,25271850,24964450,24650400,24311650,24051000,23667000,23225000,22785000,22377000,21942000,21449000,20952000,20510000,20052259,19583186,19111312,18640558,18174143,17712992,17257774,16810937,16375135,15951899,15543520,15148932,14762133,14374729,13980997,13578783,13170848,12762439,12361237,11972994,11599763,11240523,10894306
"Population, total",SP.POP.TOTL,Vanuatu,VUT,..,264652,258883,253165,247498,241876,236299,230782,225335,219956,214635,209375,204144,198963,193957,189288,185058,181346,178074,175004,171802,168236,164209,159814,155242,150779,146633,142852,139369,136129,133040,130028,127094,124248,121433,118578,115634,112579,109429,106223,103024,99879,96793,93761,90824,88023,85388,82941,80669,78518
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,..,31108083,30693827,30276045,29854238,29427631,28995745,28558607,28116716,27670659,27221228,26769115,26314483,25857553,25399143,24940223,24481477,24023355,23565734,23108003,22649212,22188671,21726808,21263994,20799471,20332247,19861959,19388262,18912431,18437737,17968530,17508059,17057786,16617343,16185895,15761800,15343917,14931741,14525929,14127790,13739142,13360988,12994025,12636971,12286434,11937803,11587758,11235492,10881995,10528054
"Population, total",SP.POP.TOTL,Vietnam,VNM,..,91703800,90728900,89759500,88809200,87860300,86932500,86025000,85118700,84218500,83311200,82392100,81436400,80467400,79537700,78620500,77630900,76596700,75456300,74306900,73156700,71995500,70824500,69644500,68450100,67242400,66016700,64774000,63263000,61750000,60249000,58868000,57692000,56655000,55687000,54722000,53700000,52574000,51436000,50295000,49158000,48030000,46918000,45825000,44758000,43725000,42729000,41773000,40856000,39980000
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,..,103574,104170,104737,105275,105784,106267,106707,107091,107423,107700,107863,107950,108085,108208,108386,108639,108596,108535,108355,108093,107817,107317,106577,105711,104807,103963,103000,104500,106000,106500,107000,108000,104000,102000,98000,97000,96000,96000,93000,96000,94000,90000,84000,76000,71000,63000,58600,54600,50800
"Population, total",SP.POP.TOTL,West Bank and Gaza,WBG,..,4422143,4294682,4169506,4046901,3927051,3811102,3702218,3596688,3494496,3406334,3320396,3236626,3154969,3075373,2997784,2922153,2848431,2776568,2706518,2587997,2474666,2366298,2262676,2163591,2068845,1978248,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,..,26832215,26183676,25533217,24882792,24234940,23591972,22954226,22322699,21701105,21093973,20504385,19931617,19374012,18832097,18306287,17795219,17304422,16829935,16349809,15834747,15266147,14633091,13948118,13245003,12571240,11961099,11426912,10958983,10542601,10153613,9774242,9402070,9043210,8698304,8369708,8059381,7765087,7485921,7226885,6994840,6793979,6626208,6487853,6370599,6262934,6156234,6047230,5937125,5827223
"Population, total",SP.POP.TOTL,Zambia,ZMB,..,16211767,15721343,15246086,14786581,14343526,13917439,13507849,13114579,12738676,12381509,12043591,11725635,11426006,11139978,10861238,10585220,10309310,10034412,9763742,9502346,9253527,9018229,8794061,8576987,8361381,8143142,7921028,7696070,7469270,7242496,7017292,6793708,6571673,6352561,6138069,5929497,5727577,5532350,5343550,5160570,4983017,4810810,4644329,4484141,4331002,4185378,4047479,3916928,3792864
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,..,15602751,15245855,14898092,14565482,14255592,13973897,13720997,13495462,13297798,13127942,12984418,12867828,12774162,12691431,12603988,12499981,12374019,12226742,12059858,11877664,11683136,11476807,11256512,11019717,10763036,10484771,10184966,9866776,9535657,9198874,8862601,8528328,8197564,7876414,7571965,7289083,7031159,6796946,6580739,6373956,6170284,5967861,5768382,5573312,5385342,5206311,5036321,4874113,4718612
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 01/03/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
